start,tenor,f_irs,f_ois
1,1,0.03192231111318708,0.0035008752188192675
1,2,0.03321680755679394,0.0035259239061620077
1,3,0.03398239502949115,0.003667865702025915
1,5,0.035238402393670196,0.004001970661220195
1,10,0.03841934528978271,0.0048040998249103285
5,1,0.03927406787784547,0.005015312028445915
5,2,0.04007489710945826,0.005015312028445945
5,3,0.04007229652854006,0.0052409316925749565
5,5,0.041093295756964784,0.005421386514584182
5,10,0.043633806202831506,0.0057271282568647774
10,1,0.04218952754215185,0.006041957566656566
10,2,0.04311602105526593,0.006041957566656607
10,3,0.04409741243936779,0.006041957566656587
10,5,0.04624942418073491,0.006041957566656599
10,10,0.053458069392638766,0.006043238781103489
