Tenor,Product,Rate,years,f,df
6m,OIS,0.0025,0.5,0.0024984474705913584,0.9987515605493182
1y,OIS,0.003,1.0,0.003492596100617051,0.9970089730807411
2y,OIS,0.00325,2.0,0.0034947783831504784,0.9935307459132384
3y,OIS,0.00335,3.0,0.0035447888626207757,0.9900151412183346
4y,OIS,0.0035,4.0,0.003945605189162255,0.9861166497152494
5y,OIS,0.0036,5.0,0.003995890364464688,0.9821841197332517
,,,6.0,0.005002812005169378,0.9772827418428944
7y,OIS,0.004,7.0,0.005002812005169378,0.9724058232211624
,,,8.0,0.0056797638436565795,0.9668984862220128
,,,9.0,0.0056797638436565795,0.9614223406864455
10y,OIS,0.0045,10.0,0.0056797638436565795,0.9559772099578657
,,,11.0,0.0060238285279021865,0.9502359248217799
,,,12.0,0.0060238285279021865,0.944529119958519
,,,13.0,0.0060238285279021865,0.9388565882908895
,,,14.0,0.0060238285279021865,0.9332181239853352
15y,OIS,0.005,15.0,0.0060238285279021865,0.9276135224444688
,,,16.0,0.006026414558292994,0.9220401959125404
,,,17.0,0.006026414558292994,0.9165003552752005
,,,18.0,0.006026414558292994,0.9109937993410906
,,,19.0,0.006026414558292994,0.9055203281276586
20y,OIS,0.00525,20.0,0.006026414558292994,0.9000797428538959
,,,21.0,0.006028214913002267,0.8946702352348325
,,,22.0,0.006028214913002267,0.8892932389270312
,,,23.0,0.006028214913002267,0.8839485585364868
,,,24.0,0.006028214913002267,0.8786359998435183
,,,25.0,0.006028214913002267,0.8733553697957109
,,,26.0,0.006028214913002267,0.8681064765009012
,,,27.0,0.006028214913002267,0.8628891292202033
,,,28.0,0.006028214913002267,0.8577031383610785
,,,29.0,0.006028214913002267,0.8525483154704449
30y,OIS,0.0055,30.0,0.006028214913002267,0.8474244732278295
