Expiry,Tenor,f_irs,f_ois,beta,alpha,rho,nu
1,1,0.0319223100566597,0.003494778383164,3.2207869379686563e-07,0.1390803435628536,-0.6323068789757429,2.041870388052779
1,2,0.0332168064326961,0.0035197836220035,5.529538636530895e-11,0.18466572315625177,0.524759551282402,-1.67472311107442
1,3,0.0339823939205775,0.003661724088424,2.4834560618974583e-09,0.1968611042268296,0.48264643941913077,-1.4366395537752574
1,5,0.0352366944633151,0.0039967745522773,6.261367496758118e-13,0.17805678072308617,0.41436118587113946,-1.0641607585015573
1,10,0.0384063423556165,0.0047340201845802,7.868949961593536e-06,0.17095250478825672,0.2640904254958107,-0.778900424054236
5,1,0.0392579035941022,0.0050028120051415,1.9643132483786218e-12,0.1666282748569152,0.5855998444030226,-1.3398820794370547
5,2,0.0400590625246865,0.0050028120051415,1.9359187729489982e-07,0.1995453070948399,0.5469848035471172,-1.0615716349681696
5,3,0.0400446134191081,0.0051714547904779,2.1467856753547613e-11,0.21031400934551922,0.5494898502952986,-0.9358700618874395
5,5,0.0410596134147588,0.0053063690756616,4.563531374055722e-07,0.19068361138736994,0.5087203583107028,-0.6716363328942337
5,10,0.0435658607390492,0.0055668361037675,0.051832829340444135,0.17537037401121353,0.4186811036241753,-0.5048689356036186
10,1,0.042041775733842,0.0058273033203626,3.4446247441216864e-07,0.17842238624637588,0.5479371500579349,-1.0071041166812844
10,2,0.042963861204132,0.0058273033203626,2.6444696156615474e-06,0.19636275525924998,0.5468356905425469,-0.9252585067411222
10,3,0.043941981378484,0.0058273033203626,1.1555959096031551e-08,0.2080533563980334,0.5523753472391545,-0.8678264917836929
10,5,0.0460915137134723,0.0058273033203626,3.6277171014945835e-07,0.1988993042821366,0.5548792629639079,-0.7164859936156792
10,10,0.0531468074109231,0.0058677512466509,6.0765465343044e-08,0.17438126858469352,0.4776645536589652,-0.5856158535994785
