start,tenor,Beta,alpha,rho,nu,sigma
1,1,2.0835599337095333e-12,0.13907991863537567,-0.6323088396109707,2.0418784352240285,0.225
1,2,6.540861098599887e-08,0.1846659968081215,-0.5247596151656991,1.6747248159465398,0.2872
1,3,7.485776480549319e-13,0.1968610063813956,-0.4826465684909516,1.4366389362319096,0.2978
1,5,3.1629053443763365e-06,0.17806065838871415,-0.4143920712938318,1.064192173417898,0.2607
1,10,2.493245358838221e-05,0.16998330296661746,-0.25564520805417934,0.7919935080815409,0.2447
5,1,8.973591643359966e-07,0.16661843017903127,-0.585668357390361,1.3404279725485733,0.2726
5,2,1.5707001010164395e-07,0.1995335387450653,-0.5470297854253613,1.062006419383698,0.2983
5,3,1.578996845017378e-05,0.21031428981304753,-0.5496869527281623,0.9367738584918989,0.2998
5,5,7.319391848286012e-06,0.19024369463778762,-0.5068141511564499,0.6745470462021909,0.266
5,10,0.0577888314474959,0.17480866200400125,-0.41570529941364065,0.5113128034775493,0.2451
10,1,5.173438149751967e-07,0.17828164718248274,-0.5484407285169748,1.0103090866019477,0.2854
10,2,8.977527214539623e-09,0.1963125640879776,-0.5475309496638961,0.9286359475318511,0.2928
10,3,1.6195777119398227e-06,0.20825258111646722,-0.5535895229518696,0.8716890379039312,0.294
10,5,6.128131567519502e-05,0.2015830364931462,-0.5636562221584782,0.7225185812612869,0.26739999999999997
10,10,0.0006457046847512266,0.18022997708718835,-0.5084004672488508,0.5803641825362496,0.2437
