Date,Close
02/07/2025,44.68
02/06/2025,44.32
02/05/2025,44.32
02/04/2025,44.42
02/03/2025,44.31
01/31/2025,44.61
01/28/2025,43.73
01/27/2025,43.6
01/24/2025,43.51
01/23/2025,43.81
01/22/2025,43.32
01/21/2025,43.53
01/20/2025,43.62
01/17/2025,43.85
01/16/2025,43.78
01/15/2025,43.5
01/14/2025,43.9
01/13/2025,44.07
01/10/2025,44.13
01/09/2025,45
01/08/2025,45.44
01/07/2025,44.5
01/06/2025,43.95
01/03/2025,43.62
01/02/2025,43.96
12/31/2024,43.72
12/30/2024,43.85
12/27/2024,43.55
12/26/2024,43.54
12/24/2024,43.6
12/23/2024,43.36
12/20/2024,42.82
12/19/2024,43.4
12/18/2024,43.37
12/17/2024,44.21
12/16/2024,44.31
12/13/2024,43.74
12/12/2024,43.8
12/11/2024,43.68
12/10/2024,44
12/09/2024,43.65
12/06/2024,43.68
12/05/2024,44.26
12/04/2024,43.82
12/03/2024,43.51
12/02/2024,42.55
11/29/2024,42.43
11/28/2024,42.25
11/27/2024,41.85
11/26/2024,41.71
11/25/2024,42.25
11/22/2024,42.33
11/21/2024,42.56
11/20/2024,42.21
11/19/2024,42.57
11/18/2024,42.4
11/15/2024,42.94
11/14/2024,43.02
11/13/2024,42.78
11/12/2024,42.34
11/11/2024,42.75
11/08/2024,42.4
11/07/2024,41.7
11/06/2024,39.15
11/05/2024,39.09
11/04/2024,39.06
11/01/2024,38.75
10/30/2024,38.66
10/29/2024,39.29
10/28/2024,39.08
10/25/2024,39.15
10/24/2024,39.3
10/23/2024,39.18
10/22/2024,38.98
10/21/2024,39.16
10/18/2024,39.7
10/17/2024,39.52
10/16/2024,39
10/15/2024,39.4
10/14/2024,39.13
10/11/2024,38.69
10/10/2024,38.74
10/09/2024,38.8
10/08/2024,38.35
10/07/2024,38.36
10/04/2024,38.04
10/03/2024,37.84
10/02/2024,37.77
10/01/2024,37.89
09/30/2024,38.05
09/27/2024,37.6
09/26/2024,38.3
09/25/2024,38.37
09/24/2024,38.83
09/23/2024,39.46
09/20/2024,39
09/19/2024,38.5
09/18/2024,38.1
09/17/2024,38
09/16/2024,38
09/13/2024,37.94
09/12/2024,37.8
09/11/2024,37.29
09/10/2024,37.18
09/09/2024,37.19
09/06/2024,36.53
09/05/2024,36.65
09/04/2024,36.6
09/03/2024,37.25
09/02/2024,36.8
08/30/2024,36.36
08/29/2024,35.81
08/28/2024,35.68
08/27/2024,35.9
08/26/2024,35.81
08/23/2024,35.89
08/22/2024,35.55
08/21/2024,35.78
08/20/2024,35.85
08/19/2024,35.62
08/16/2024,35.56
08/15/2024,34.76
08/14/2024,34.61
08/13/2024,34.12
08/12/2024,33.98
08/08/2024,33.57
08/07/2024,33.65
08/06/2024,32.75
08/05/2024,33.27
08/02/2024,35.31
08/01/2024,35.98
07/31/2024,36.59
07/30/2024,36.56
07/29/2024,36.33
07/26/2024,36.24
07/25/2024,36.54
07/24/2024,36.74
07/23/2024,36.75
07/22/2024,36.2
07/19/2024,36.69
07/18/2024,36.9
07/17/2024,37.28
07/16/2024,37.36
07/15/2024,37.9
07/12/2024,37.93
07/11/2024,38.38
07/10/2024,38.15
07/09/2024,37.4
07/08/2024,37.18
07/05/2024,37.42
07/04/2024,37.98
07/03/2024,37.96
07/02/2024,37.1
07/01/2024,36.12
06/28/2024,35.79
06/27/2024,36.05
06/26/2024,35.69
06/25/2024,35.65
06/24/2024,35.54
06/21/2024,35.45
06/20/2024,35.47
06/19/2024,35.47
06/18/2024,35.5
06/14/2024,35.48
06/13/2024,35.84
06/12/2024,35.65
06/11/2024,35.55
06/10/2024,35.63
06/07/2024,35.52
06/06/2024,35.5
06/05/2024,35.36
06/04/2024,35.83
06/03/2024,36.07
05/31/2024,35.99
05/30/2024,35.62
05/29/2024,35.69
05/28/2024,35.78
05/27/2024,35.85
05/24/2024,35.87
05/23/2024,35.85
05/21/2024,35.68
05/20/2024,35.8
05/17/2024,35.7
05/16/2024,35.55
05/15/2024,35.31
05/14/2024,35.46
05/13/2024,35.37
05/10/2024,35.4
05/09/2024,35.28
05/08/2024,35.71
05/07/2024,35.93
05/06/2024,35.81
05/03/2024,35.64
05/02/2024,35.55
04/30/2024,34.9
04/29/2024,34.78
04/26/2024,34.42
04/25/2024,34.45
04/24/2024,34.38
04/23/2024,34.62
04/22/2024,34.07
04/19/2024,33.1
04/18/2024,33.14
04/17/2024,32.7
04/16/2024,32.31
04/15/2024,32.4
04/12/2024,32.84
04/11/2024,32.73
04/09/2024,32.54
04/08/2024,32.32
04/05/2024,32.27
04/04/2024,33.02
04/03/2024,32.81
04/02/2024,32.91
04/01/2024,32.65
03/28/2024,32.75
03/27/2024,33.3
03/26/2024,32.8
03/25/2024,32.27
03/22/2024,32.57
03/21/2024,32.42
03/20/2024,31.76
03/19/2024,31.8
03/18/2024,31.73
03/15/2024,31.52
03/14/2024,31.47
03/13/2024,30.85
03/12/2024,30.45
03/11/2024,30.55
03/08/2024,30.68
03/07/2024,30.71
03/06/2024,30.54
03/05/2024,30.36
03/04/2024,30.38
03/01/2024,30.5
02/29/2024,30.3
02/28/2024,30.41
02/27/2024,30.45
02/26/2024,30.45
02/23/2024,30.75
02/22/2024,30.86
02/21/2024,30.86
02/20/2024,31.06
02/19/2024,31.03
02/16/2024,30.79
02/15/2024,30.3
02/14/2024,29.61
02/13/2024,29.54
02/09/2024,29.58
02/08/2024,29.51
02/07/2024,29.5
