1; Swap USD-SOFR; PV:-73547.840689; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
2; Swap USD-SOFR; PV:-1178395.729902; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
3; Swap SGD-SORA; PV:-457095.552450; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
4; Swap SGD-SORA; PV:35694.742946; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
5; Bond USD-GOV; PV:486958.299807; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
6; Bond SGD-GOV; PV:-1585624.405147; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
7; Bond SGD-MAS-BILL; PV:100705.156538; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
8; TreeProduct APPL; PV:-6059.110724; BlackPV:-6059.450772; Delta:0.000000; Vega:0.000000
9; TreeProduct SP500; PV:49047.321713; BlackPV:48636.197349; Delta:0.000000; Vega:0.000000
10; TreeProduct STI; PV:15465.102093; BlackPV:15312.363373; Delta:0.000000; Vega:0.000000
11; TreeProduct STI; PV:-18174.007978; BlackPV:-17949.939442; Delta:0.000000; Vega:0.000000
12; TreeProduct APPL; PV:-6059.110724; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
13; TreeProduct SP500; PV:62042.492827; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
14; TreeProduct STI; PV:19413.673698; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
15; TreeProduct STI; PV:-21993.985756; BlackPV:0.000000; Delta:0.000000; Vega:0.000000
