loan_amnt,term_mths,int_rate,installment,grade,empl_yrs,annual_inc,verification_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,loan_status
5000,36,9.67,160.57,1,2,63000,0,6.74,12,0,7603,57.2,33,3,0,1
9250,36,15.31,322.07,1,10,38000,0,5.42,7,0,8939,62.5,10,1,0,1
10350,36,16.29,365.36,1,10,78000,0,12.69,6,0,2039,25.2,7,0,0,1
5000,36,15.22,173.87,1,2,41000,0,20.74,6,0,5436,83.6,12,0,0,1
7750,36,11.14,254.24,1,7,56000,0,0.54,6,0,991,6.5,27,0,0,1
5000,36,12.49,167.25,1,2,53000,0,4.98,5,0,4119,37.1,17,1,0,1
12000,36,6.24,366.37,1,5,72000,0,11.43,9,0,5927,22.7,26,2,0,1
8025,36,23.43,312.45,0,1,30000,0,26.48,12,0,9953,82.9,24,0,0,1
6000,36,12.99,202.14,1,7,41000,0,18.18,9,0,3611,59.2,16,0,0,1
2250,36,18.55,81.97,0,5,27000,0,10.58,10,0,3780,31,11,0,0,1
5000,36,12.39,167.01,1,9,58000,0,18.91,17,0,12683,50.7,31,2,0,1
11350,36,16.99,404.61,0,3,45000,0,36.19,8,1,46363,92.2,14,1,1,1
2500,36,20.49,93.54,0,5,18910,0,4.89,3,0,1704,63.1,5,0,0,1
12000,60,11.44,263.55,1,10,68000,0,18.16,11,0,41122,42.8,25,2,0,1
4200,36,9.17,133.9,1,1,14000,0,31.99,5,0,2434,69.5,11,0,0,1
10000,36,8.49,315.63,1,10,99000,0,7.5,7,1,17936,81.2,18,2,1,1
18000,36,11.53,593.83,1,4,150000,0,12.61,9,0,9135,51.5,34,2,0,1
10650,36,18.99,390.34,0,1,31500,0,20.8,14,1,10094,74.2,22,2,1,1
10375,36,13.05,349.83,1,10,29900,0,27.69,7,0,12489,87.3,13,1,0,1
8500,36,19.52,313.82,0,1,40000,0,22.11,7,0,6733,70.9,23,0,0,1
10000,60,18.55,256.94,0,10,46000,0,34.91,12,0,19052,44.9,25,3,0,1
6275,36,17.57,225.51,0,3,36000,0,26.58,18,0,5536,55.9,35,0,0,1
